,reviewee,reviewer,reviewer_identity,review_date,review_star,Amazing chat,review,Goes the extra mile,Knows their stuff,Unique listings,Easygoing buyer,Fast and decisive
0,jeankini,summersunflower,buyer,3 days ago,5.0,1.0,"Great seller, hassle free deal and mail out the item fast! Thank you!",0.0,0.0,0.0,0.0,0.0
1,jeankini,goodie2muchshoes,buyer,5 days ago,5.0,1.0,"lovely seller, thanks!",0.0,0.0,0.0,0.0,0.0
2,jeankini,muscatbuns,buyer,6 days ago,5.0,0.0,"Item exactly as per description, mailed out and received promptly. Friendly seller that replies promptly.",1.0,0.0,0.0,0.0,0.0
3,jeankini,sallysazzy,buyer,10 days ago,5.0,0.0,"Nice seller, easy to deal. Appreciate that she let us collect at our convenient timing. Thankyou so much!",1.0,0.0,0.0,0.0,0.0
4,jeankini,jjauw,buyer,20 days ago,5.0,1.0,"From a mother to another, thank you for the wonderful and instant transaction!",1.0,1.0,1.0,0.0,0.0
5,jeankini,goodie2muchshoes,buyer,1 month ago,5.0,1.0,fuss free deal with a friendly seller!,0.0,0.0,0.0,0.0,0.0
6,jeankini,hitchikegg,buyer,3 months ago,5.0,0.0,Nice friendly seller with good communication!,0.0,0.0,0.0,0.0,0.0
7,jeankini,llim5661475281,buyer,4 months ago,5.0,0.0,Very good person thank u so much bro,0.0,0.0,0.0,0.0,0.0
8,jeankini,xavro13,buyer,6 months ago,5.0,0.0,smooth deal. generous seller. item as described. very responsive too. thank you.,0.0,0.0,0.0,0.0,0.0
9,jeankini,rxyan,buyer,6 months ago,5.0,1.0,Great seller to deal with :D,1.0,1.0,1.0,0.0,0.0
10,jeankini,apple_rose,buyer,7 months ago,5.0,1.0,Excellent seller to deal with. Item was as described and posted out promptly. Highly recommended seller!,1.0,0.0,1.0,0.0,0.0
11,jeankini,coolbeanzzzz,buyer,7 months ago,5.0,1.0,very polite and friendly seller who replies promptly! she met me at my convenience and we had an great chat ❤,1.0,0.0,0.0,0.0,0.0
12,jeankini,science,buyer,8 months ago,5.0,0.0,Amazing kind seller - clear instructions and prompt responses - look forward to the next deal,0.0,0.0,0.0,0.0,0.0
13,jeankini,sh.ju,buyer,8 months ago,5.0,0.0,Fast dealing. Reliable.,0.0,0.0,0.0,0.0,0.0
14,jeankini,ahkuei,buyer,8 months ago,5.0,1.0,Best seller ever! Highly responsive and very accommodating! Seller from the perfect world!!!,1.0,0.0,0.0,0.0,0.0
15,jeankini,adventurer,buyer,9 months ago,5.0,1.0,Friendly seller who promptly mailed out item. Item received is as described 🙂 Thank you again!,0.0,1.0,0.0,0.0,0.0
16,jeankini,rjuandi03,buyer,9 months ago,5.0,1.0,Very nice seller to deal with! Items are as described and in superb condition. Recommended seller.,0.0,0.0,0.0,0.0,0.0
17,jeankini,jimmychongjl,buyer,10 months ago,5.0,0.0,Nice seller to deal with! Sincere and friendly ! Thanks!,0.0,0.0,0.0,0.0,0.0
18,jeankini,seanymph,buyer,10 months ago,5.0,0.0,"Seller is fast response and transcation very smooth and efficient, item is well packed too. Thank you!",0.0,0.0,0.0,0.0,0.0
19,jeankini,agungprasetyopelaut,buyer,11 months ago,5.0,0.0,Great seller,0.0,0.0,0.0,0.0,0.0
20,jeankini,keyluck72,buyer,11 months ago,5.0,0.0,"Item was in tip-top condition,, Seller was very kind to deliver it to my place so quick,,,, thank you for coming over,, 😊🙏",0.0,0.0,0.0,0.0,0.0
21,jeankini,77hamsters,buyer,1 year ago,5.0,1.0,Very nice seller! Got some problems with delivery but he actively solved it! Very appreciate it! Well received the goods I need! Thanks a lot!,0.0,0.0,0.0,0.0,0.0
22,jeankini,edmundheng1977,buyer,1 year ago,5.0,0.0,"Superb seller, great value good comms. Thank you.",0.0,0.0,0.0,0.0,0.0
23,jeankini,silver_ferns07,buyer,1 year ago,5.0,0.0,Seller is very responsive and easy to make a deal with. Highly recommended. Thank you so much!,1.0,0.0,0.0,0.0,0.0
24,jeankini,lovelyforyou,buyer,1 year ago,5.0,1.0,"Friendly, nice seller, fast deal for a very nice piece of lulu top :)",0.0,0.0,0.0,0.0,0.0
