username,min_dist_username
pureserene07,pureserene01
pureserene01,pureserene07
liyanayacob,lianayacob
lianayacob,liyanayacob
sereneyeow,sereneyew
sereneyew,sereneyeow
chrisgoh17,chrisgoh07
chrisgoh07,chrisgoh17
jacklim70,jacklim00
abukhalis,abukhalil
jacklim00,jacklim70
abukhalil,abukhalis
joannewcn,joannewcl
joannewcl,joannewcn
mohangen,mohanen
sannawee,annawee
mohanen,mohangen
annawee,sannawee
samanthafong84,samanthathong84
samanthathong84,samanthafong84
shariffaharina,sharifahmarina
edichew,eddchew
sharifahmarina,shariffaharina
eddchew,edichew
pureserene,pureserene01
sharonlee_ly,sharonlee_sg
naishahharon,aishah_haron
sharonlee_sg,sharonlee_ly
pyaephyo1234,pyaephyo24
aishah_haron,naishahharon
pyaephyo24,pyaephyo1234
azizahjaidi,azirahjaini
shopqueen7,shopqueen88
shopqueen88,shopqueen7
joelgoh777,joelgoh2477
joelgoh2477,joelgoh777
cheryllimmy,cheryllim09
azirahjaini,azizahjaidi
serenetan1,sereneteang
sereneteang,serenetan1
adelineheng,adelinethen
adelinethen,adelineheng
cheryllim09,cheryllimmy
felicialimlishea,feliciallshea
feliciallshea,felicialimlishea
yikhonglol,yizhongloo
windyday12,windyday88
ongkengwei,ngpengwei
windyday88,windyday12
yizhongloo,yikhonglol
shermaine7,sherminey
karthikarthimk,karthikarthi467
dreamerade,dreameraq
dreameraq,dreamerade
nancytan,nancytanya
nancytanya,nancytan
vanessateh,vanessalek
keithtay81,keithtan85
keithtan85,keithtay81
sherminey,shermaine7
karthikarthi467,karthikarthimk
vanessalek,vanessateh
jeremyckj,jeremyck79
terencezj,terencelyj
mdrasel80,mdrasel201
jeremyck79,jeremyckj
terencelyj,terencezj
mdrasel201,mdrasel80
ngpengwei,ongkengwei
wendy2888,wendy2328
guanseng,guangbeng
samuelszw,samuelpsw
paultftan,paul.tan
yeonieee,yeonjaeee
samuelpsw,samuelszw
paul.tan,paultftan
ahcharles,ngcharles
shirlin83,shirlin92
shirlin92,shirlin83
yeonjaeee,yeonieee
shawn_ong,stan_ong
eugenettw,eugeneteu
jaylene_t,jaylene.n
