,username,no_review,review_list,no_product,product_dict,mean_rating
0,.*****s,1,"['No charger and no wires for the jack, it uses type c and its light only thing in the box was the headphones and a instruction']",1,{'d4762088-f54e-4297-aefe-b7a5c2fc5b76': 1},4.0
1,.....linh123,1,['Will buy again All'],1,{'b14fb80e-204a-4007-8a22-8d467f9cbc36': 1},5.0
2,.4fiq,1,[nan],1,{'e1366b54-47df-429c-b19e-c2173ac35fe7': 1},5.0
3,.ruth__angela_diaz,1,[nan],1,{'85085951-059c-4265-a5e6-bec8a14a350e': 1},5.0
4,.shaishy,1,[nan],1,{'85085951-059c-4265-a5e6-bec8a14a350e': 1},5.0
5,0*****a,1,['second purchase bc the first time i bought it it was good. sound quality is ok! delivery is quite fast too:)'],1,{'363c5275-c823-4331-ab39-bfdfe5242609': 1},5.0
6,0*****d,1,[nan],1,{'363c5275-c823-4331-ab39-bfdfe5242609': 1},5.0
7,0*****r,1,"['Best Feature(s): No\nValue For Money: Not at all\nPerformance: Not good\nProduct was average, nothing too crazy about it. \nCan hear something accessory in the earphone as the video shown\nDelivery took super long\nNot Recommend to buy']",1,{'912d838b-5e84-4aef-a0dd-bb23f44e5913': 1},1.0
8,0*****y,1,[nan],1,{'58b2475a-2ba2-4404-b9b5-35a633c76462': 1},5.0
9,0*****z,1,['Very good 10/10 will buy again sound is nice too thanks seller packaging good'],1,{'39d43177-d901-4178-b9e1-cfc08d5dfdf4': 1},5.0
10,000ztsu,1,[nan],1,{'912d838b-5e84-4aef-a0dd-bb23f44e5913': 1},5.0
11,0099wong,1,[nan],1,{'90abf5a5-0603-4b85-bc96-e247a4a4e031': 1},5.0
12,0173787317nisa,1,[nan],1,{'bc081a6b-f6d4-4c77-bb49-7dfdae30c3aa': 1},5.0
13,0205kandar,1,[nan],1,{'912d838b-5e84-4aef-a0dd-bb23f44e5913': 1},5.0
14,0219tgoreq,1,[nan],1,{'363c5275-c823-4331-ab39-bfdfe5242609': 1},5.0
15,03yfuc.80,1,[nan],1,{'363c5275-c823-4331-ab39-bfdfe5242609': 1},5.0
16,0445_25pi8,1,"['Performance: good\nValue For Money: yes\nItem as described, good sound system']",1,{'d4762088-f54e-4297-aefe-b7a5c2fc5b76': 1},5.0
17,0549000j,1,"[""Haven't try yet,look good to me ,we'll packed tks""]",1,{'e1366b54-47df-429c-b19e-c2173ac35fe7': 1},5.0
18,05p_21atjt,1,['The ear does not receive bluetooth even though it is turned on and charged and the top is still scratched more than half'],1,{'e7088fc8-7558-4c6f-9e97-73084cb1712f': 1},2.0
19,06lynn0971,1,[nan],1,{'363c5275-c823-4331-ab39-bfdfe5242609': 1},5.0
20,06pn704s3m,1,[nan],1,{'90abf5a5-0603-4b85-bc96-e247a4a4e031': 1},5.0
21,0750rv7il1,2,"['Good Condition', 'Good']",1,{'dfe4564a-2cf5-4024-84a6-082f1ca8aa25': 2},5.0
22,08lm0lyqgy,1,[nan],1,{'86cafb8f-5c07-4819-8a58-1a81b3bf912f': 1},5.0
23,0921o34o229,1,[nan],1,{'e7088fc8-7558-4c6f-9e97-73084cb1712f': 1},5.0
24,09240e8ao0,1,[nan],1,{'3d10378b-9438-48bb-b40f-ddc4b1be2f0b': 1},5.0
25,0_lc181khf,1,[nan],1,{'00ca38b7-8d71-4a14-8ff3-2e3502c740d3': 1},5.0
26,0aisha7,1,[nan],1,{'bcb684c1-3ffa-435c-b1ae-fc48a34e28cc': 1},5.0
27,0aodq3sx9y,1,[nan],1,{'cd6c11d7-d842-4a56-b3ec-f8b76aff86b8': 1},5.0
28,0blwjcwhzq,1,"['Sp ok, the connection takes a while, the battery runs out quickly']",1,{'b14fb80e-204a-4007-8a22-8d467f9cbc36': 1},5.0
29,0fkrkj8w38,1,[nan],1,{'363c5275-c823-4331-ab39-bfdfe5242609': 1},5.0
30,0gpqxt95x6,1,[nan],1,{'912d838b-5e84-4aef-a0dd-bb23f44e5913': 1},4.0
31,0hcar0l,1,['Take very long time for delivery. Item  works. Previous headphone only last slightly more than half a year 😔 hopefully this will last.'],1,{'39d43177-d901-4178-b9e1-cfc08d5dfdf4': 1},5.0
32,0hejssdaje,1,['Bought 4 pcs for kids doing their hbl. All in working condition. Delivery took 2 days. '],1,{'58b2475a-2ba2-4404-b9b5-35a633c76462': 1},5.0
33,0omoomo0,1,['Hmmm.. out side looks good but inside.. sound acceptable.. order 12/12 received 17/12...'],1,{'f0ecb02d-1184-470b-bbcc-e972312db0d4': 1},5.0
34,0qrlobzssu,1,[nan],1,{'39d43177-d901-4178-b9e1-cfc08d5dfdf4': 1},5.0
35,0vncklmpm6hyfynzy8ggkfp1zmo4,1,[nan],1,{'39d43177-d901-4178-b9e1-cfc08d5dfdf4': 1},5.0
