,username,no_review,review_list,no_product,product_dict,mean_rating
0,.*****.,3,"['the F keys on top and volume buttons don’t work for some reason. other than that pretty okay. fast delivery too', 'Well received in good packaging and condition. Very nice color and smooth to type. Doesnt make too much noise when typing and mouse quite comfortable to use.', 'delivery was quite fast \neasy to set up\nworth it for the price']",2,"{'5407f33f-02df-4f64-91ec-339e7c6ddcce': 1, 'd19cf120-93e6-4f1c-89c2-2b18187139cb': 2}",4.666666666666667
1,.*****_,1,[nan],1,{'cbd4fe9d-1474-4653-9e63-9d8bd9233413': 1},5.0
2,.*****w,1,[nan],1,{'5407f33f-02df-4f64-91ec-339e7c6ddcce': 1},4.0
3,.....9757,1,[nan],1,{'9bfe3373-1fef-4500-88ab-3a6a50137c25': 1},5.0
4,._vxnessa._,1,[nan],1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},5.0
5,.hmm..22001221,1,[nan],1,{'f9540513-4938-4e57-b7db-30996ad29250': 1},5.0
6,.pepperoni,1,[nan],1,{'776567fe-60c2-4b68-89db-ab79d83175c2': 1},5.0
7,.t0p.1,1,[nan],1,{'899b38f2-3d1d-4ff1-9410-defa444f3861': 1},5.0
8,.zee.,1,['Just received the item last night. Well packed and looks and feels good to type. Now I am motivated to write.😄'],1,{'1f06b4aa-18c7-4c2c-a94d-6ee16ea6b3e8': 1},5.0
9,0*****1,1,['Take a while to arrive since coming from\nChina. Keyboard work well and the blinking rainbow colour is wonderful.'],1,{'899b38f2-3d1d-4ff1-9410-defa444f3861': 1},5.0
10,0*****7,1,"['Been looking for keyboard with soft keys. This does the job. Just that need some getting used to since the touch is different from usual keyboard and the positioning of some of the keys are different. Overall, am satisfied with the purchase.']",1,{'8f2d2018-fbd0-4aab-aca9-b0cb2bbdd840': 1},5.0
11,0*****8,1,['Fast delivery yet to try. Reasonable price.'],1,{'c85e68dc-cd67-4947-a0ef-ed3e725d144d': 1},5.0
12,0*****c,1,['Performance: works well\nBest Feature(s): can connect by Bluetooth or by USB\nValue For Money: yes\nEasy to set up'],1,{'5407f33f-02df-4f64-91ec-339e7c6ddcce': 1},5.0
13,0*****e,1,[nan],1,{'1be323a9-4bd1-4bf4-8470-4af8e4133ddb': 1},5.0
14,0*****f,1,['Item as described. Delivery took 2 days. Pleasant Transaction. Thank you.'],1,{'4dcfd651-3459-454a-8fa9-768e55fb32f2': 1},5.0
15,0*****g,1,['Good. Working well. Thankyou'],1,{'284914a9-6d45-4f4d-8fc3-7751a141dd4e': 1},5.0
16,0*****h,1,['Performance: works really well\nBest Feature(s): i like that the keys pop out lol\nValue For Money: veryyyyy!!'],1,{'03e4b789-11d8-40ce-870f-fd99891b3c40': 1},5.0
17,0*****i,1,['Performance: Ok\nValue For Money: Yes\nBest Feature(s): Cheap\nThe keys are stiff which requires more force to press.'],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},3.0
18,0*****j,1,['Value For Money: good\nvery good keyboard for the price'],1,{'75a0ba9f-2c37-4ce4-b9ca-f5d4b97c1924': 1},5.0
19,0*****l,1,[nan],1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
20,0*****m,1,[nan],1,{'ffd204e4-8711-489a-9ca6-0796527b776f': 1},5.0
21,0*****n,1,['So nice the white nice NiceNiceNiceNiceNiceNiceNiceNiceNiceNiceNiceNiceNice'],1,{'c85e68dc-cd67-4947-a0ef-ed3e725d144d': 1},5.0
22,000000kf,1,[nan],1,{'95b73f4a-1e51-4e4e-94f1-ad68c55889c2': 1},5.0
23,003vi,1,[nan],1,{'5386c74e-8276-41ec-a8e2-a167233036f2': 1},5.0
24,0125357203_ameena,1,[nan],1,{'27469302-7316-41d4-b036-53ec777356ad': 1},5.0
25,01long,1,[nan],1,{'b3a4e980-6e4e-4508-b341-056358af9b69': 1},5.0
26,0212david,1,[nan],1,{'899b38f2-3d1d-4ff1-9410-defa444f3861': 1},5.0
27,02dil,1,[nan],1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
28,02hwee,1,['Quick delivery\nGood quality\nNice n light'],1,{'7ba0810d-0c09-4a30-8fd4-ec78b2f8ebdc': 1},5.0
29,02stfu,1,['very good thankyou seller would recommend to my friends !! :)'],1,{'776567fe-60c2-4b68-89db-ab79d83175c2': 1},5.0
30,0312mtkth2230,1,[nan],1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},5.0
31,0321am,1,['looks good feels good nice clickity sound hooe it lasts long'],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
32,0330.yan,1,['Buy on Friday night and received on Monday afternoon. Use it immediately since wfh. Works well. Looks nice and is slim which what I looking for. Overall good product for the price paid.'],1,{'8f2d2018-fbd0-4aab-aca9-b0cb2bbdd840': 1},5.0
33,0349956767ad,1,[nan],1,{'899b38f2-3d1d-4ff1-9410-defa444f3861': 1},5.0
34,04egan,1,[nan],1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
35,05mq09,1,['Cheap and good.  Fast delivery and delivered in good condition👍👍👍'],1,{'7562b144-e782-4782-9ce7-19a3ebf2903e': 1},5.0
36,06pn704s3m,2,"[nan, nan]",2,"{'5407f33f-02df-4f64-91ec-339e7c6ddcce': 1, 'd19cf120-93e6-4f1c-89c2-2b18187139cb': 1}",5.0
37,07azlan,2,"[nan, nan]",2,"{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1, 'd48df05d-13f8-4ef1-b612-162f13e9860e': 1}",5.0
38,07ebji7ws5,1,[nan],1,{'284914a9-6d45-4f4d-8fc3-7751a141dd4e': 1},5.0
