merchant_id,name,Ratings,response rate,joined,products,response time,follower
3200e4c3-ef03-4c83-a1a6-6a4e9956cbac,SVIJ Enterprise,563,88%,7 years ago,102,within hours,245
40906e60-a25c-45bc-93cd-57029c7fff0c,MiniHelpersSG,9.6k,65%,5 years ago,57,within hours,7.9k
ff280150-17c1-4983-99dd-cec65ed70ac3,Baseus Flagship Store (Singapore),11.2k,96%,6 years ago,111,within minutes,8.3k
7ade4cef-82ce-4006-85db-bff009134067,NBTechLink,1k,99%,24 months ago,30,within hours,745
a64a8cf3-7327-4068-a6e8-7b3ab20e0ecb,77 home ,863,99%,17 months ago,65,within hours,1k
50ab6104-b628-4ff1-b6c9-ddc4a296d07a,Acer Official Store,15.9k,81%,6 years ago,792,within hours,63.2k
eb24fb2b-778a-4b71-b80a-e8cbc978f111,Samsung Brand Store,9.5k,100%,30 months ago,245,within minutes,61.4k
4581dd45-53cf-492b-bc8a-28270bbfe966,PrismPlus Official Store,13.7k,100%,16 months ago,89,within hours,98.8k
1db5cc41-38c6-4f56-bf4c-c648d319997b,PrismPlus Official Store,13.7k,100%,16 months ago,89,within hours,98.8k
3ccd6062-f649-46ba-9660-d6b30618e927,TIANYU GLOBAL,14.5k,72%,4 years ago,779,within hours,2.2k
d849e7ec-e260-49da-ac73-2c002d3e8172,Lenovo Authorised Store,4.5k,100%,4 years ago,387,within hours,39.7k
5bb6359c-4657-43fa-baa2-b48a84adbcc1,ElectronicsCrazy,1.9k,91%,5 years ago,2.2k,within hours,464
71bd3d6f-6493-4fb1-b682-332b0bc64703,Sinseng Components Pte Ltd,10.7k,81%,4 years ago,493,within hours,3.2k
db11ebc0-ea5e-493f-9c3e-e049c5af5253,TIANYU GLOBAL,14.5k,72%,4 years ago,779,within hours,2.2k
f1ea5196-96c8-4b18-8681-daa21266439f,WIN Digital,38.5k,75%,7 years ago,781,within hours,6.1k
6c10cb08-6679-4876-a1d6-65137a018f81,WIN Digital,38.5k,75%,7 years ago,781,within hours,6.1k
60f0f2e1-1bcf-4f14-aa92-b93c053bf46b,Samsung Brand Store,9.5k,100%,30 months ago,245,within minutes,61.4k
74819bbd-ab3f-48d0-98f3-cee8294c73e8,Acer Official Store,15.9k,81%,6 years ago,792,within hours,63.2k
7834bc30-6219-42b7-a580-bceba3b746b8,ZSCMALL0.sg,53,79%,5 months ago,29,within hours,172
9209de0a-b9fd-46e7-aba6-13841052a0fa,TIANYU GLOBAL,14.5k,72%,4 years ago,779,within hours,2.2k
