,username,no_review,review_list,no_product,product_dict,mean_rating
0,.*****f,1,['Very fast delivery.. Seller included 3 pin plug.. Appreciate that..'],1,{'9c5601cc-ea74-4087-9693-84e04e40414d': 1},5.0
1,.lili.put,1,[nan],1,{'2ce67b58-50e3-421f-a6db-905ba5a6fedb': 1},5.0
2,0*****5,1,"['Performance: Ok\nBest Feature(s): Low black level.\nValue For Money: Ok\nSeller is good give extra UK plug power sepply. VA panel with 12ms GTG respond time, not good for gamer. Low black level good for movie. The screen stretched to around 16.5:9, if display quare will become ractangle, not good for office use. Ok for the price.']",1,{'3566e00a-8a24-4f1f-8f4a-341bf963e330': 1},5.0
3,0*****a,1,['Very satisfied with the product. Sharp and easy to assembled as it comes in a box. Received within 3 weeks as I didn’t realised it was a pre order.'],1,{'14863253-4bd2-44e0-b59f-0faa464e8134': 1},5.0
4,0*****e,2,"['Very satisfied with the product.\nWorks well and fast delivery \nVery good 👍', ""Good deal but doesn't come with screws for VESA mounting""]",2,"{'0ce6504a-44a5-4bf2-a60d-5ebf42dd277f': 1, 'a259518b-bbbb-4e42-94ce-a0c5e5c892f5': 1}",4.0
5,0*****j,1,['Nice quality \nThanks'],1,{'ed6cd771-dbd4-4e91-b47a-76c4599aeaaa': 1},5.0
6,0*****l,1,['Performance: Good\nBest Feature(s): Functional\nValue For Money: Good but delivery took very long\nQuality is good. But receive a text to inform that delivery will take additional 3 weeks. Asked if seller can extend shopee garentee but was told that it cannot be extended on their end.'],1,{'3a19a53f-5819-4721-af84-ffa7a216d66f': 1},5.0
7,0*****m,1,['Overall is good but tale note that it is only suitable  for screen thickness not more than  20mm.'],1,{'1566203f-9865-4754-a479-3010df73df07': 1},4.0
8,0*****p,4,"['This is the 3rd/4th monitor purchased. Good and value for money so far', 'Working good', 'This is the 3rd/4th monitor purchased. Good and value for money so far', 'Working good']",2,"{'13b810fc-592b-46e0-9509-f84218be2aab': 2, '5a8076df-ea62-44c8-83a2-0a28a66641c9': 2}",5.0
9,0*****r,1,['Colors looks good and so far not experienced any frame drops when gaming. Definitely value for money when on sale'],1,{'981eb1f5-7db8-47da-8474-43e07bdbd45a': 1},5.0
10,0*****u,1,"['Value For Money: bought during 7.7\nProduct Quality: feels sturdy, but have not setup yet..bought for study..hope it is easy to fix']",1,{'0e5f99a7-80f4-4e1b-91ea-da611fa37732': 1},1.0
11,0*****z,1,[nan],1,{'8f6fa60c-a77d-4249-bd77-c24cf0fd9b3f': 1},5.0
12,00p00,1,[nan],1,{'14863253-4bd2-44e0-b59f-0faa464e8134': 1},5.0
13,0109rock,1,[nan],1,{'0ce6504a-44a5-4bf2-a60d-5ebf42dd277f': 1},5.0
14,012ysn,1,['Performance: works well\nBest Feature(s): Eye saver mode\nValue For Money: Yes value for money with 3 years warranty'],1,{'3a19a53f-5819-4721-af84-ffa7a216d66f': 1},5.0
15,03g_80d9g4,1,[nan],1,{'f73d52d8-3a92-4a3c-a89a-7dac36b98795': 1},5.0
16,05jaclim08,1,['The product received  in good condition. I have tested  and is working well.  Good buy'],1,{'1566203f-9865-4754-a479-3010df73df07': 1},5.0
17,081harry,1,['Item received in good order. Very surprised that monitor do not come with speaker. Need to purchase a external speaker.'],1,{'9871aa4a-d0bf-4df7-a535-8d27fd335fd2': 1},3.0
18,0846785i,2,"['Delivery pretty fast even though its Chinese New year period. Monitor looks okay. Hope it last.', 'Delivery pretty fast even though its Chinese New year period. Monitor looks okay. Hope it last.']",2,"{'9bc63b8f-baf9-496b-9ad8-623e23a42f10': 1, '9f527f9f-3c5a-4693-9ce4-5b1f8192f7b8': 1}",5.0
19,09v0cxqx_s,1,"['Receive within three days , outstanding quality for the price , full HD for my Wintel tablet  and antique MacBook pro, highly recommended .']",1,{'0e219dfb-acb5-48f3-ad59-eeb388dab83b': 1},5.0
20,0abdul_kadir0,1,[nan],1,{'7f6f3512-e46c-4efa-b55d-65581f2a0863': 1},5.0
21,0c4unt1eqe,1,"['Performance: I saw a little bit of pixellation for certain video scenes but should be good enough for work\nBest Feature(s): Delivery bubble wraps, Styrofoam and lots of cushions\nValue For Money: Yes\nI am happy with the packaging. Lots of cushions, Styrofoam and bubble wrap. Overall physical condition was great. Great value for money for sure.']",1,{'3ec6d0d5-b0b2-430d-b27a-c117ae364bc1': 1},5.0
22,0d68xb0rf7,1,['Received in good condition. Yet to set up. Hope it working well.'],1,{'14863253-4bd2-44e0-b59f-0faa464e8134': 1},5.0
23,0hmbzs2bga,1,['Sturdy and seemingly value for money.'],1,{'7677d353-cf15-4bd1-ae6f-b3e277bb9e7e': 1},5.0
24,0hnfj6ixvp,1,[nan],1,{'dcc61fa3-525c-4134-8fcc-ac81c2cd1d5c': 1},5.0
25,0htbft1kh1,1,['Good quality at this price. Good enough for work from home.'],1,{'3ec6d0d5-b0b2-430d-b27a-c117ae364bc1': 1},5.0
26,0kjzy8qh5rst5tozz6goz97piped,1,['Received just on time 😁'],1,{'55cc18d5-d658-4cf3-a79d-9a5e79683a96': 1},5.0
27,0km40s0_mb,1,[nan],1,{'9be02f76-a4ed-4fd8-98b9-1469d64c4e4f': 1},4.0
28,0krf5agqkt,1,[nan],1,{'3a19a53f-5819-4721-af84-ffa7a216d66f': 1},5.0
