merchant_id,name,Ratings,response rate,joined,products,response time,follower
e23e0808-ee5c-4708-901d-4cf076efb657,Spark HD ,26.6k,98%,3 years ago,377,within hours,8.6k
8d9c1f3f-4b97-4ae9-9ae5-54b230534c7f,asia3729,4.3k,93%,7 years ago,141,within minutes,447
e6f554e1-c937-427c-b2ed-a8cf128097e9,Lovihome,166.3k,81%,7 years ago,138,within hours,14.5k
ecc235a5-46dd-42f1-bc15-6ce111a61bb5,FTW.SG Singapore Flagship Store,11k,94%,7 years ago,98,within hours,3.6k
4da61442-1004-4da4-b0d9-9061dab66a1c,FTW.SG Singapore Flagship Store,11k,94%,7 years ago,98,within hours,3.6k
77afd91a-6831-4393-bfe8-51b86e3749c4,ContessaStore,16.9k,99%,25 months ago,290,within hours,3.9k
f4e56473-d695-4fbb-8fef-7483c95b14c6,JANZ 3C Store,28.9k,97%,5 years ago,178,within hours,7.2k
cd4ed12c-1427-4b71-998c-ee9ed56722e6,Leapfrog E-Store,24.7k,55%,7 years ago,203,within hours,8.3k
0d9ea28e-906b-4e54-93e2-a4e4d1c73070,samanthayap1983,9.4k,7%,6 years ago,440,within hours,794
d7108e47-a08d-4041-84f1-2038225fc9fc,JANZ 3C Store,28.9k,97%,5 years ago,178,within hours,7.2k
8a7f57c9-2b06-4439-9a3f-bacc25e2f47a,Four Seasons🌱🌳🍁☃️,1k,98%,15 months ago,48,within hours,531
443a458c-bf32-4601-b8dc-8d1865e56123,Tomato SG,51k,100%,35 months ago,83,within hours,21.3k
ea1734fb-aa7d-473a-8c2e-bb41b7310712,js.garden,1.3k,56%,3 years ago,477,within hours,550
c4bd5a41-99eb-40fa-bbb7-967ebb9188ea,SuperCozy,16.6k,23%,5 years ago,139,within hours,1.6k
daa10d55-ac32-488b-a101-69033241b3e9,Happy Living,51.7k,91%,3 years ago,126,within hours,4.4k
123847f7-4618-4724-a672-c5eb8f59cfc8,fortuned.sg,603,100%,31 months ago,72,within minutes,249
d988c191-0f8b-460a-b63e-37cde9b95075,Kosmo Official Store,597,36%,11 months ago,29,within hours,198
6bba3e6a-f40e-49ca-bddf-06937a75f5db,Smart Zheng,30.3k,100%,5 years ago,486,within minutes,7.2k
