product_id,merchant_id,name,preferred,mall,avg_rating,total_rating,total_sold,price,qty_avail,fav_count,description,img_src
5b8d72e2-d985-4a2b-9dd6-626b1ebd09a2,e23e0808-ee5c-4708-901d-4cf076efb657,【SG】2.4GH LED Wireless Gaming Mouse Mice X8 Silent 1600DPI Adjustable Rechargeable Ergonomic,1,0,4.8,391,980,$9.90 - $13.90,67 pieces available,Favorite (431),,
ea4cb6f6-8710-4858-add1-d4bb6f7409dd,8d9c1f3f-4b97-4ae9-9ae5-54b230534c7f,W5 Wireless Mouse Silent Mute Rechargeable Computer USB Button Mouse,1,0,4.6,96,227,$6.90,67 pieces available,Favorite (85),Product Features  Mouse type Office gaming mouse  Mouse Weight 75+/-3g  Product Weight 110g  Connection 2.4Ghz  Interface USB   Resolution 1000-1200-1600 DPI  Foot Pad Double UPE pad  Backlight 7 color light  size 110X60×25mm  Battery Rechargeable  Power Type Lithium Battery  Battery capacity 300 mAh  Charging time 2 hours  Working time 10-30 days  Smart power saving 60 seconds power saving/10 minutes turn off  Mouse sound Silent,https://down-sg.img.susercontent.com/file/a80d20cf0cd2d95bc8043a8b7b133024_tn
751faca6-d336-40e5-8efc-05cf2f7bf7eb,e6f554e1-c937-427c-b2ed-a8cf128097e9,SG Waterproof Leather Desk Mouse Pad - Large Desktop Table Mat Laptop Computer Accessories Keyboard Mousepad,1,0,4.9,2.3k,8.2k,$5.90 - $11.50,67 pieces available,Favorite (2k),"💡 This leather table mat is multipurpose; you can use them as your desk mat, computer or laptop mouse pad! It is designed to be water-resistant, has an anti-slip base, anti-fray stitching, and is easy to clean.  💡 The material is non-toxic and comfortable on skin. Comes in different sizes and colors. 💡 Material: Premium PU Leather 💡 Sizes: 60*30cm - 80*40cm - 100*50cm - 120*60cm 💡 Colors: Blue Baby, Deep Sea Blue. Mystic Black, Maple Brown, Forest Green, Cherry Red, Sakura Pink and Nordic Grey 
 
 Warranty Policy: Warranty date starts from the date of purchase for 12 months. Warranty covers manufacturing defects. Warranty does not cover misuse, unauthorised modifications, or damaged caused by accident, misuse. Warranty does not cover normal wear and tear. 
 
",https://down-sg.img.susercontent.com/file/53a00cf8c7e4c665f51dcd2e2653c125_tn
0848612a-fa7d-4794-b8c7-452856c05f6a,ecc235a5-46dd-42f1-bc15-6ce111a61bb5,"FTW Magic Touch Mouse LIGHTSPEED Wireless Arc Bluetooth Mouse for iPad/ Macbook Pro/Air/ Mac, SILENT 1600 DPI Tracking",1,0,4.7,295,876,$24.90 - $49.90,67 pieces available,Favorite (409),"
 
 
 
 
 
",
0233d7c9-8596-4e9e-9a7e-0dd09025a0dd,4da61442-1004-4da4-b0d9-9061dab66a1c,"[1-2 DAY DELIVERY!!] Logitech M350 PEBBLE Wireless Bluetooth Mouse, LIMITED EDITION Line Friends Collab Mouse",1,0,4.5,8,37,$27.90 - $37.90,67 pieces available,Favorite (32),"
 
 
 
",
24aa663b-b441-4b06-876c-126c218f04f3,77afd91a-6831-4393-bfe8-51b86e3749c4,🔥ready stock🔥 Wireless Mouse 2.4Ghz Receiver Optical Adjustable Silent led usb Rechargeable for Laptop notebook 鼠标,1,0,4.8,2.6k,7.5k,$4.50 - $7.50,67 pieces available,Favorite (1.1k),"-----------Welcome to the Contessa shop!------------ 
 🚚 We from Singapore Bendemeer，24H Shipping，2~3days arrival. ❶Hope you can have a pleasant shopping experience in our shop! ❷All products are in stock, you can place an order directly if you like~ ❸Dropship / Reseller / Wholesale / Agent are welcome! ❹Please contact us if you have any problem. We will try our best to solve your problem 
 
 
 【𝙋𝙧𝙤𝙙𝙪𝙘𝙩 𝙎𝙥𝙚𝙘𝙞𝙛𝙞𝙘𝙖𝙩𝙞𝙤𝙣𝙨】 Product name: 2.4G mute light emitting notebook wireless mouse Battery capacity: 500mAh Working mode: 2.4GHz Buttons: 4 buttons DPI value: 800-1200-1600 Power supply mode: rechargeable lithium battery Dimensions: 112x58x25mm Receiver: ergonomic support for external receiver Working distance 10 meters Wireless carrier frequency: 2402MHz-2480MHz Wireless working channels: 16, automatic frequency hopping Key stroke: 0.8mm Keystroke force: 60-70±10g Key life times: 3 million times 
 【𝙁𝙚𝙖𝙩𝙪𝙧𝙚𝙨】 1. Engineering design, stylish appearance and comfortable feel. 2. Optical positioning, positioning is more accurate. 3. Smart mini receiver, automatic connection, no need for cumbersome code matching. 4. Up to 16 million ID coding designs to enhance the anti-interference characteristics of the mouse; 5.Any 360 around the use angle, as far as the control distance of about 10 meters; 6. Circuit management design, making the mouse more power-saving; 7. Resolution 800-1600dpi adjustable frequency, enjoy your wireless free space; 8. System requirements: Windows2000/XP/Vista/Linux/7/ and MAC operating system 9: Brand switch, better click effect, improved use comfort, silent design of left and right buttons, quieter. 
 【𝙋𝙖𝙘𝙠𝙖𝙜𝙚 𝙇𝙞𝙨𝙩】 ★Mouse*1 ★Wireless receiver*1 ★usb charging cable*1 
 💘 Contessa  💘 SG Local Seller  💘 Ship in 2-3 Working Days 😊 Thanks for you support，hope you shopping happy！ 
 
",https://down-sg.img.susercontent.com/file/368d39dc65c3918bedcff88d1223d472_tn
649a8a3c-1f37-49a3-a109-12aa782dbf53,f4e56473-d695-4fbb-8fef-7483c95b14c6,Wireless Mouse Bluetooth Mouse 2.4GHz Wireless Optical Rechargeable Wireless Mice Ultra-Thin Silent Mouse for PC/Laptop/Phone/Tablet,1,0,4.8,10.4k,30.1k,$2.32 - $6.89,67 pieces available,Favorite (5.1k),"Note：Please check the difference between 2.4GHz Mouse and Bluetooth Mouse before purchasing.Thanks！

Difference between 2.4GHz Mouse and Bluetooth Mouse:
2.4GHz Wirerless Mouse: Only can use USB receiver to connected with your Laptop , Computer and other electronic equipment that has usb interface.
Bluetooth Mouse（2.4GHz Wirerless + Bluetooth 5.0）: The Bluetooth mouse is dual-mode, with 2.4GHz wireless and Bluetooth 5.0 functions. You can use both USB receiver and Bluetooth to connect with your PC / Laptop / Phone / Tablet.

Tips:
1. Suitable for most of Mobile phone models, Tablets, Laptop and Computer.
2. If connect for device, the system must be upgraded to 13 or above.
After completing the Bluetooth connection, Settings - Accessibility -Touch - AssistiveTouch - Turn On. 
3. The mouse is equipped with a charging cable, which is used to charge the mouse, not to connect the mouse. The product is a wireless device, no wire connection is required. The connection method has been shown in the post, please refer to.

How to use the mouse ?
1. 2.4GHz wireless mode
Remove the mini USB receiver installed in the bottom of the mouse, insert the computer's USB interface.Then put the mouse close to the USB wireless receiver and turn on the switch.Free code, plug and play.
2. Bluetooth mode
Turn on the switch → Turn on the bluetooth of the electronic device → Start to search BT5.2Mouse or BT3.0Mouse, and then connect.
If connect for , After completing the Bluetooth connection, Settings - Accessibility -Touch - AssistiveTouch - Turn On.
(If you use it by the Bluetooth mode，please do not plug the usb wireless receiver into the computer )


Specification:
Mouse type: Wireless Bluetooth Mouse
Work mode: 2.4GHz Wireless / Bluetooth
DPI: 800-1200-1600
Power Supply: Built-in rechargeable battery 500mAh
Button: 4 Buttons
Size:112 x 58 x 25mm
Application: PC/Laptop/Phone/Tablet

Package include:
1 x Mouse
1 x Charging Cable

Note:
When the cursor movement delay occurs, please insert the charging cable into the front end interface of the mouse to charge. Please try not to use it while charging.
If use the 2.4GHz wireless mouse, and the mouse turns on the switch, it will flash for a few seconds and then turn off. Means that the mouse cannot recognize the receiver, so please check whether the receiver is plugged in, or check whether the USB port of the computer is normal. Solution: Re-insert the receiver or insert another USB port.

Q&A                
Q1.Why the cursor can't locate accurate ?
A1. When the mouse cursor can't locate accurate, the mouse need to be charged.

Q2. How can I know it is charging , or it is charged ?
A2. When charging , the light is blue light. When charged, the blue light is OFF.",
013ebc59-8967-493f-a620-c840559f366a,cd4ed12c-1427-4b71-998c-ee9ed56722e6,Alcatroz Asic 9 RGB FX Hi-Definition USB Wired Mouse With 1000 CPI Free Mouse Pad,1,0,4.9,1.2k,3.4k,$6.90,54 pieces available,Favorite (707),"Welcome to Leapfrog E-Store where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today!

Alcatroz Asic 9 RGB FX Hi-Definition USB Wired Mouse With 1000 CPI  Free Mouse Pad

Features: 
- High optical speed 
- Ideal for bigger screen (17"" upwards)
- 3 button mouse with scroll wheel middle-click 
- RGB FX light effects
- 2 years warranty 

Specifications: 
- Resolution: 1000CPI
- Cable length: 1.4M
- Compatibility: Windows and MAC.1 USB port

Package Contains:
1x Asic 9 RGB FX

Visit us on below channels for more products information.
Website: https://leapfroglobal.com/home/alcatroz
Facebook: Alcatroz
YouTube: Alcatroz

#Alcatroz #Asic9 #RGB #1000CPI #Mouse #Wired #Gaming ",https://down-sg.img.susercontent.com/file/d1fa1a607bac937091f4377acc2cd4a2_tn
1a752a13-8807-45d4-892c-0411d82defb0,0d9ea28e-906b-4e54-93e2-a4e4d1c73070,HP S1000 Wireless Mouse 1600dpi Ergonomic 2.4G Mause USB Optical Portable Mouse,1,0,5.0,3,10,$2.55 - $9.82,54 pieces available,Favorite (8),"Specification
-Type: wireless mouse
-Interface: USB
-Wireless transmission frequency: 2.4GHz
-Resolution: 1600DPI
-Battery type:AA
-Number of buttons: 4
-Operating distance: 10m
-Return rate: 250Hz
-Acceleration: 10G
-Scanning frequency: 600fps
-Movement speed: 60in/s
-Power consumption current: 7mA
-Compatibility: Windows7/8/10/ISO10.0
-Mouse size: 104*61*34mm
-Receiver size: 13.5*6*18mm
-Mouse plus battery Weight: about 90g

Feature:
-Symmetrical design, left and right hand available
-Reliable 2.4GHz wireless connection
-Wear resistant metal roller design
-Low noise keys
-Reliable wireless reception range of 10m
-Bottom non-slip pad design
-Color box packaging plus cartons
-Plug and play USB receiver

Package:
1 x HP S1000 Mouse
1 x USB Receiver",
30706462-c3bc-4cd9-8daf-6b9c5d6ff04c,d7108e47-a08d-4041-84f1-2038225fc9fc,Wireless Bluetooth Mouse Stylish Silent Wireless Mouse Pebble Mouse Mice for PC/Laptop/Phone/Tablet,1,0,4.8,471,1.6k,$2.43 - $8.95,54 pieces available,Favorite (584),"This is an OEM mouse ️

Tips:
1. Suitable for most of Mobile phone models, Tablets, Laptop and Computer.
2. If connect for iPad device, the system must be upgraded to 13.1 or above.
After completing the Bluetooth connection, Settings - Accessibility -Touch - AssistiveTouch - Turn On. 
3. If you use it by the Bluetooth mode，please do not plug the usb wireless receiver into the computer.

Technical Specification:
Model: M350
Work mode:  Dual connectivity, 2.4GHz USB / Bluetooth
Sensor technology: High Precision Optical Tracking
Sensor resolution: 1000 dpi
Number of buttons: 3
Scroll wheel: Mechanical
Scroll buttons: Middle Button
Unifying ready mouse: Yes
Unifying ready receiver: No
Battery life: 8-18 months（Based on your usage）
Battery type: 1 AA pre-installed battery
Wireless operating distance: 10 m (Wireless range may vary due to environmental and computing condition)
Wireless technology: Receiver or Bluetooth Low Energy Technology
Size: 107 x 59 x 26.5 mm


Package includes:
1 x Mouse
1 x Receiver (USB)
1 x AA battery (pre-installed)
1 x User manual

#BluetoothMouse #WirelessMouse #MouseWireless #MouseBluetooth #WirelessBluetoothMouse #BluetoothWirelessMouse #BluetoothMice #WirelessMice #SilentMouse #WirelessSilentMouse #Mice #PebbleMouse #janz",
