product_id,merchant_id,name,preferred,mall,avg_rating,total_rating,total_sold,price,qty_avail,fav_count,description,img_src
0a96fc71-fd16-4fa0-910d-d7699a25c9bf,85f68d81-29b2-43b1-a320-df8a6f85a307,PRISM+ Symphony 5.1.2ch Soundbar with Dolby Atmos | 760W | Wireless Subwoofer | Wireless Music Streaming | Bluetooth 5.1,1,0,4.8,298,697,$740.00,140 pieces available,Favorite (500),"✅5.1.2ch Surround Sound ✅760W Peak Power ✅Dolby Atmos Technology ✅Wireless Music Streaming ✅Wireless Subwoofer ✅Bluetooth 5.1 ✅Multiple Audio Port - AUX In, USB, HDMI Arc, Coaxial, Optical ✅5 Calibrated Audio Profiles ✅Sync With Your TV Remote",
ee09ae20-ff54-406a-a915-e0d9770ccd83,b1a2d5df-c156-45cb-b636-a7594963c045,LG SP2 2.1 Ch Sound Bar with Built-in Subwoofer,1,0,4.9,47,101,$169.00,4 pieces available,Favorite (255),"- Free Delivery - We are offering free delivery through the collection of ""Free Shipping"" voucher. Kindly pls remember to collect them before check-out. 
 Main Features:  ● Powerful Bass from Subwoofer & Dual Action Bass  -  30W Subwoofer & 2ea Passive Radiator  
 ● Interior matching Design  - 3-side wrapping jersey 
 ● HDMI, Bluetooth  - Powerful connectivity with Bluetooth and HDMI In/Out 
 ● LG TV Synergy - Control the Sound bar with LG TV remote controller and share the LG TV sound engine 
 ● Eco-Friendly Design - Eco-friendly product that using recycled resin coming from plastic bottle and eliminate the styrofoam & vinyl bag in packaging 
 Specifications: ● Channel: 2.1 Ch (Subwoofer Built-in) ● Power Output: 100W ● Sound Mode: AI Sound Pro / Standard  / Cinema / Game ● TV Connection: HDMI ARC (In / Out), Optical, Bluetooth ● Convenience: TV Sound Share, Bluetooth, USB Playback ● Weight (kg) : 2.3 ● Dimension(mm) W x H x D : 760 X 63 X 90 ● Matching TV SIze : 43 inch ↑ ● Color: Black- LG SP2 2.1 Ch Sound Bar with Built-in Subwoofer ● Power Output: 100W ● Sound Mode: AI Sound Pro / Standard / Cinema / Game ● TV Connection: HDMI ARC (In / Out), Optical, Bluetooth ● Convenience: TV Sound Share, Bluetooth, USB Playback ● Country of Origin: Vietnam 
 ● *Video and Images on thumbnails are for explanation purposes only and may be different from actual ones.",https://down-sg.img.susercontent.com/file/b919c492e1c33c56f85ce9b4f62ec825_tn
d74ad7ef-d543-467e-b6db-acd5c2f042a4,a2c3a04d-d5c4-4bc9-8257-37ff0f3367ce,KEF LS50 Wireless II Active Bookshelf Speakers LS50W II LS50W 2 (FOC installation),1,0,5.0,10,19,"$3,599.00",4 pieces available,Favorite (31),"Audiophile quality without the clutter
Perfect for living room and bedrooms
Play TV/Netflix audio from the LS50w II
Spotify Connect for uninterrupted playback
Free setup by seller",https://down-sg.img.susercontent.com/file/sg-11134201-22090-8mlwdm42puhvfd_tn
a4bc7bda-1d88-4ad0-805a-317b82c9a680,bf74c8b6-a7b2-4496-814f-5122a270b321,Panasonic SC-PM250 Home Audio System,1,0,4.9,106,183,$130.00,57 pieces available,Favorite (191),"Built-in clock, timer, sleep timer,
Functions:FM Radio, CD / MP3 player, digital player, Bluetooth Streaming, Supported Digital Audio Standards:MP3, Media Content Source:CD, Network,
USB-host, Equalizer:Yes, Media Type:CD-RW, CD-R, CD-DA, Sound Output Mode:Stereo, Built-in Display:LCD, Sound Effects:D-Bass, XBS,
Connector Type:1 x USB 2.0 ( 4 PIN USB Type A ), Equaliser Factory Presets:Clear, Soft, Heavy, Vocal, Flat, Included Accessories:Remote control,
Connectivity Interfaces:Bluetooth",
5595d181-29bc-4bd6-8e9f-bf23f6f2a0e2,6483e1eb-a05a-4e8c-90de-f7f1110597ad,SG【Local Seller】Bluetooth Speaker With Wireless Charger 15w Led Atmosphere RGB Smart Light Atmosphere Table Lamp,1,0,5.0,2,3,$22.50,14 pieces available,Favorite (12),"------------------------------------------------------------------
         💕Welcome to FANSU Home🏠
-------------------------------------------------------------------

⭐ We're Local Seller, shipped from Selangor

⭐ Follow Us To Receive Discount!

⭐To take you to enjoy life and experience another attitude towards life.  Your satisfaction is our goal all the time.

⭐Our store promises that the whole store's local spot in Singapore will be sent out within 1-2 days, so that you can receive it quickly and enjoy the new online shopping experience.

🔥 Multifunctional Wireless Charger Speaker: 6 in 1 functions, You'll get a Bluetooth Speaker /15W Fast Wireless Charging Station /Bedside Lamp /Music Sync RGB Breathing Light /Phone Stand Holder / Nightstand Decor.  Cool stuff that suitable for bedroom, office, living room, yoga, baby room.  Perfect gifts for women, men, mom, couples, boys, girls and friends.  Best birthday gift Ideas for 10 11 12 13 14 years old teenage and kids.

🔥 15W Fast Charger Stand for iP: Provide Max 15W wireless fast charging, high sensitive Qi wireless connection , put on and charging.  No annoyance on constantly moving your phone for finding the charging position.  Compatibility with iP 14/14 Pro/14 Pro Max, iP 13/ 13 Pro/13 Pro Max, iP12/12 Pro/12 Pro Max, iP11/XS Max/XS/XR/X/8/8 Plus, Samsung galaxy S21+/S20+ Ultra/S10+ and all phone with wireless charging function.

🔥 Wide Compatibility Bluetooth Speakers: Adopt Powerful Bluetooth 5.0 chip, which provides longer wireless range and efficient connection for iPhone 14, 13, 12, 11 and Pro Max, Apple Samsung smartphone and all Bluetooth-enabled devices.  360° surround sound, bring you a Live Concert like.  Enjoy high-quality sound and relax your body and mind.  With a wireless range of up to 30 feet, it easily connects to phones, tablets, computers, TVs, and more. (⚠NOTED⚠: Bluetooth Name is 966-M6064Q).

🔥 Fine Phone Stand for Bedroom Table Decor: Exquisite design, high-end look, make it the first choice for the decoration of your nightstand.  Put your phone horizontal or vertical on the phone holder when sleep or watch vedio.  Make your life more convenient.

🔥 Music Sync RGB Bedside Lamp: Our night light up bluetooth speaker 3 solid colors and 7 dynamic colored lights.  You can turn on the solid color when wake up at night or go to toilet.  When listen to music, you can turn on the dynamic lights and RGB lights, it will breathing with music sound, which makes your bedroom more atmosphere.

⚫️ ⚪️       ⚫️ ⚪️       ⚫️ ⚪️

📌After sales

✅When there is a problem with your product during transportation, please contact Shopee customer service and me as soon as possible. We will help with the problem as soon as possible.

✅If you have any questions about receiving the goods, please contact me as soon as possible after taking pictures, and I will deal with them as soon as possible.

Thank you!!!💕",https://down-sg.img.susercontent.com/file/sg-11134207-7rbk9-lm5ga6h1syc020_tn
8a674261-ee5d-4172-8e61-dade35fc8729,b4c2c080-9886-42c0-9fc1-de88878931d1,Wireless Bluetooth Speaker Mini Column Portable Radio Music Player Speakers,1,0,4.6,1k,3.4k,$4.04 - $4.09,14 pieces available,Favorite (1.6k),"Features:
100% Brand new and high quality!
Support for phone,for laptop,for tablet PC.
Support for TF card(mini micro card).
Modular, buddy-jack design.
Connect a row of mini speakers to get jaw-dropping audio performance.
Expanded box(bass xpansion systerm)drivers a fuller,richer low-end response.
New,large 45mm driver delivers precise highs for superb sound.
Support A2DP,AVRCP,AVRCP,headset,handsfree profile.
Best choice for yourself or your friend.You will not be disappointed!
 
Specifications:
Model: A9
Pattern: Crack design
Size: 60*60*50mm
Color: Black;White;Blue;Green;Yellow;Pink
Shape: Round
Vertion: V2.1
Working range: Up to 10m
Working time: 5 hours
Output: 3W
Frequency response: 280HZ-16KHz
S/N: ≥95dB
Distortion: ≤0.5%
Battery capacity: 500mAh
Battery Charging Voltage: 5V+/-0.5V
Battery charging time: 2 hours",
15c8d822-cfcf-41c0-81dd-f7f292dbc224,6a69cc5f-8a17-4b2f-92b3-c28f08c8dc03,Mini Wireless Bluetooth Mini Speaker Waterproof Subwoofer Speaker Mobile Computer Phone Connection,1,0,4.9,12,21,$5.93,14 pieces available,Favorite (16),"Note: 1.Please allow minor deviation due to manual measurement. 2.Due to the difference between different monitors, the picture may not reflect the actual color of the item. 
 Feature: The speaker supports one mobile phone being connected to two Bluetooth-compatible speakers. How to use TWS function: double-click the power button. 
 Product parameters: Product name: Macaron Bluetooth Speaker Bluetooth version: V5.0 stereo Running time: about 4 hours Charging time: 3-4 hours Material: ABS plastic + feel oil Driving device: 1*3.5 full frequency unit Built-in battery: built-in rechargeable lithium polymer 400mAh Charging power: DC 5V / 500mA Frequency range: 520 Hz-18 KHZ Wireless distance: 10m Multicolor you can choose Play back your music wireless Bluetooth for up to 3 hours non stop with music quality. With a compact design, the speaker inpods little fun offers the music lovers the opportunity to take the speaker aonde want you go. 
 Package including: 1*Speaker (Comes with original box) 1*Charging Cable 1*User Manual 
 Note: This product does not have a retail package box! !  
 
 
",
614b8113-45bf-443e-9851-66276a8612a4,11ef9663-87a3-441d-9669-4bef69964acf,【SG Local Seller】Speaker Bluetooth Wireless XTREME 3 Portable Outdoor Waterproof Speaker Loudspeaker Deep Bass Sound Music Box Subwoofer,1,0,4.4,30,85,$6.50 - $24.50,14 pieces available,Favorite (110),"🥳 All items are ships from SG,We are Local Seller 🚚 📦

😱All things will be sent in 1-2days,you will get in 3-4 working days 🕙

Up to 50% off all products,Limited Time!! Only A Week!!!
=======================================================================================

🔥Our quality is comparable to many major brands, but they are several times more expensive than us. Choosing us can save a lot of money and our performance is better than theirs🔥

=======================================================================================

🔥Specifications

Can connect via Bluetooth, Aux, USB, SD/TF Card, FM Radio

(1) Wireless Bluetooth streaming

Connect your smartphone or tablet to the speakers wirelessly and take turns to play powerful stereo sound.

(2) Solid 5000mAH rechargeable battery

The built-in rechargeable lithium-ion battery can support up to 8 hours of playing time, and the device can be charged through dual USB ports.

(3) Speaker

Thanks to the speakerphone function that eliminates noise and echo, a clear call can be made from the speaker at the touch of a button.

(4) Splashproof

Splash-proof means no longer worry about rain or sprinkling; you can even clean it with tap water. Just don't drown it.

(5) Living materials

Durable fabric material and sturdy rubber shell make your speakers lasting.

(6) Bass radiator

Listen to the bass, feel the bass, appreciate the bass. Dual external passive radiators demonstrate the power of your speakers.

=======================================================================================

Dimensions: 24 cm (length) x 10 cm (width) x 11 cm (height) mini

Weight: 0.67 KG

Support and apply to all USB, memory card, Pendrive, mobile phone, tablet PC and can be used directly from computer

Output power: 2 x 20W



=======================================================================================

🔥What's in the box:
 

1 x Speaker

1 x Micro USB cable

1 x strap



 #Charge2 #Charge3 #COD #Bluetooth #Speaker #BluetoothSpeaker #Mini #Portable #XTREME #EX",https://down-sg.img.susercontent.com/file/sg-11134207-7qveq-lk11br7vq3nu0c_tn
87ea43cc-b061-4bd9-b495-ff9cd3a5658c,a1eb66e6-d96c-4382-b4d3-d0c7f607c199,SonicGear SonicBar U200 Powerful Audio Sound Bar With LED Light Effects,1,0,4.8,887,2.4k,$14.90,14 pieces available,Favorite (1.4k)," Welcome to SonicGear Official Store where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today. 
 Package Contains: - SonicGear SonicBar U200 x1 - User Manual x1 
 Warranty Instructions:  - SonicGear 1 Years Limited Hardware Warranty - Register warranty at https://leapfroglobal.com/register - Product with no serial number provided, use Order ID on the platform for warranty claim purpose 
 Website: https://leapfroglobal.com/home/sonicgear Facebook: Sonicgear  YouTube: SonicGear #SonicGear #U200 #Soundbar #Audio #Speaker #LED #Aux-in",https://down-sg.img.susercontent.com/file/374af6c20c0278661b5df5947b6ae039_tn
78b831e8-12cb-488a-a5af-32de367613ea,e1b03901-1db2-4136-8619-cc614839ee0d,Xiaomi Mi Compact Bluetooth Speaker 2 Global Version - White[1 Year Local Official Warranty],1,0,4.9,2.6k,5.9k,$9.89,68 pieces available,Favorite (1.7k),"[All products in our store are shipped from Overseas, 5-15 days arrival]
 Mi Compact Bluetooth Speaker 2
 Compact Design, Powerful Sound
   Compact Yet Powerful
 Compact & lighweight, this speaker is perfect to carry on the go.
   Clear & Natural Sound
 Super-strong neodymium magnets help create an incredible speaker with powerful and crystal clear sound.
   6-hour-long Battery Life
 When the volume is at 80%, the speaker can play up to 6 hours music without interruption, and you can always check the battery life from your phone’s status bar.*
 *May vary depending upon playback conditions.
   Parametric Mesh Design
 The scientifically designed parametric speaker mesh cover gives the speaker a simple, yet pleasing aesthetic while allowing sound to pass through virtually unaffected.
   Built-in Mic for Hands-free Calling
 The built-in microphone allows you to receive incoming calls without having to access your phone. By simply pressing the power button, you can activate hands-free calling and talk on the go.
   High-speed Bluetooth 4.2
 Fast and reliable technology powerfully combats signal interference and allows you to easily connect with your mobile device, computer, TV and other devices.
   How Do I Connect the Bluetooth Speaker to My Device?
 1. Turn on the speaker
 2. Press and hold the % button for 4 seconds to enter Bluetooth pairing/ Discovery mode.
 3. Bluetooth Connectivity
 4. Access your portable device’s Bluetooth options and select “MI BT18” to connect the speaker.
 5. While the speaker is powered off, press and hold the button for 5 seconds to enter Bluetooth discovery mode.
   Using the Button:
 Power on/off: Press and hold for 2 seconds
 Bluetooth pairing (when no device has been paired): Power on the device to automatically enter Discovery mode
 Play/stop: Short press
 Accept phone call: Short press
 Reject phone call: Press and hold for 1 second
 Stop playing from phone: Short press
 Clear paired devices (restore to factory settings): Power off and long press for 6 seconds
   Specifications:
 Bluetooth version: 4.2
 Distance limit: 10m
 Rated impedance: 4Ω
 Supported profiles: A2DP/AVRCP/SPP 
 Audio frequency range: 200Hz to 18kHz (-10dB)
 Power supply: Built-in lithium battery
 Charging port: Micro-USB
 Battery capacity: 3.7V 480mAh
 Playback time: 6 hrs at 80% volume
 Handsfree calling support: yes
 Dimensions & weight: 50mm (diameter)/ 32mm (height)/ 54g (weight)
   Package Contents: 
 Speaker *1/ User guide *1/ Connector cable *1 (USB charging cable not included)
   #xiaomi #mi #mijia #official #miglobal #original #wireless #portable #handsfree #mini 
   To get Store Terms & Conditions, please refer to 
 docs.google.com/document/d/1vFfp0aFi-_BbutBPXGZfBUbHVV_K0vlQfYrdjP1SSr4/edit?usp=sharing",
