,username,no_review,review_list,no_product,product_dict,mean_rating
0,.*****.,5,"['Fast delivery for overseas shipping. Not bad. Reasonable price ', 'Fast delivery for overseas shipping. Not bad. Reasonable price ', 'Fast delivery for overseas shipping. Not bad. Reasonable price ', 'Fast delivery for overseas shipping. Not bad. Reasonable price ', 'Fast delivery for overseas shipping. Not bad. Reasonable price ']",1,{'78b831e8-12cb-488a-a5af-32de367613ea': 5},5.0
1,.*****n,1,['item well received. not a critic for sound quality. it works well and is definitely loud 👍🏼'],1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},5.0
2,.*****u,2,"['The item was well packed and its working fine. \nIt’s really cute and it serves as a pleasant gift for anyone planning to give this as a gift to people.', 'The item was well packed and its working fine. \nIt’s really cute and it serves as a pleasant gift for anyone planning to give this as a gift to people.']",2,"{'2556feb6-256f-41bd-8e70-3c2bb5f85168': 1, 'fbd4c726-4d8e-4c90-b116-a8e6a9b7858d': 1}",5.0
3,.aa16.w,1,[nan],1,{'746d5a0b-a354-4e30-8b0e-2a9070722840': 1},4.0
4,.esque,1,"['Super fast delivery, arrived in 2 days!! :) came with 2 speakers & works well ']",1,{'f8bc4389-b7dc-48a4-ba43-b0dc63a2cdcd': 1},5.0
5,.monzahra14,2,"['nice', nan]",2,"{'56ca8a52-1823-40d9-a909-82cac081f747': 1, 'f3fa9875-2028-4413-8c81-726d6216404a': 1}",5.0
6,.ngkc,1,[nan],1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},5.0
7,.okboomer.,1,[nan],1,{'e7edeacf-8bc6-452d-bbe9-ba7aedc760a4': 1},5.0
8,.qietelship,1,"['Everything is perfect except 1) no clock function, 2) clarity is lacking, static can still be heard.\nNot the cheapest but average performance thus only 4 stars rating.']",1,{'ea1fd32f-98f3-497e-9270-0d1198eda057': 1},4.0
9,.the_one,1,[nan],1,{'325e903d-0d31-4fad-99a2-0a3a9656df0b': 1},5.0
10,0*****8,2,"['Nice thanks', nan]",2,"{'9958c499-9833-432d-bcca-efea07f59629': 1, 'e76f5b26-b627-41e9-a2bd-efe5c54549ea': 1}",5.0
11,0*****_,1,['very good'],1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},5.0
12,01p3jhc3_0,1,[nan],1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},5.0
13,027e0a135n,1,[nan],1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},5.0
14,0312mtkth2230,1,[nan],1,{'87ea43cc-b061-4bd9-b495-ff9cd3a5658c': 1},5.0
15,05reno,1,['Best Feature(s): fast blue tooth connection\nPerformance: ok\nValue For Money: ok\nProduct sound quality is normal. Connection to Bluetooth is fast and weight is very light. Thank you seller'],1,{'6a3932bd-1a6e-41f6-a1e2-88ae02e02c1d': 1},5.0
16,0602dennis,1,[nan],1,{'73f22008-7d4f-4ee1-a8c7-94c74b3292b5': 1},5.0
17,0603chin,1,"['Prompt delivery,received in order and good condition. Value for money. Sound good.']",1,{'0a7bb5c9-9d34-4c76-b51e-7d04e9de028e': 1},5.0
18,0606chuangkai,1,[nan],1,{'8ce02988-3b99-480d-8295-670643e5cf3b': 1},5.0
19,0690chew,1,[nan],1,{'189d2d31-6bf7-4db2-ab25-b78143391085': 1},4.0
20,085326aik,1,['Good 👍👍👍👍👍'],1,{'56ca8a52-1823-40d9-a909-82cac081f747': 1},5.0
