,username,no_review,review_list,no_product,product_dict,mean_rating
0,0*****r,1,"['Best Feature(s): No\nValue For Money: Not at all\nPerformance: Not good\nProduct was average, nothing too crazy about it. \nCan hear something accessory in the earphone as the video shown\nDelivery took super long\nNot Recommend to buy']",1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},1.0
1,000ztsu,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
2,0205kandar,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
3,0gpqxt95x6,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},4.0
4,0x41sn_b7h,1,"[""Value For Money: Not at all\nPerformance: Fail to connect\nBest Feature(s): Don't have\nSeems something inside.Always fail to connect.Not a good earphone looks like a toy.\nDisappointed not recommend to buy""]",1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},1.0
5,1*****e,1,['quite impressive. battery lasts quite long although volume may be abit loud at times but overall quite good quality. also has a little muffling of the outside sound. shipped quite safely too and quick.\n\nedit: it kind of broke… when “cracking”? the folding of the earphones like after erm alm a month ig it was not bad but it kinda js broke in its own so now like one part is kind of dangling…crooked😂'],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},4.0
6,1*****m,1,"['Value For Money: expensive\nBest Feature(s): Noise cancelling ; Lightweight\nPerformance: App can be better\nHeadphones itself are ok but it’s so light that it slips off my head too easily haha user problem. The NC is decent enough except for the very static electronic voice feedback that you hear when it changes between quiet/aware mode. Sound quality is up there, better than Sonys xm5 or Sennheiser’s Momentum.']",1,{'b3bf5729-00c2-47b3-bea0-04e7e65c3680': 1},4.0
7,1030_h,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
8,1231618f,1,"['Value For Money: worth to buy during sales time\nShould be good, buying for my grand daughter.']",1,{'b3bf5729-00c2-47b3-bea0-04e7e65c3680': 1},5.0
9,15jpg_q__s,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
10,168sebas,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
11,16lym727v3,2,"[nan, nan]",1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 2},5.0
12,18maxlee,1,['Got the pink version Bluetooth gaming headphone for my GF and she absolutely loves it!!\nWorth the price😍😍'],1,{'50048ea8-74e6-4d3f-ac5b-375a53363048': 1},5.0
13,19bryan90,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
14,1vivfngvv9,1,['Performance: 7/10\nBest Feature(s): aesthetic\nValue For Money: yesss\nIts very aesthetic!!! Love the khaki colourrr'],1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},5.0
15,2*****f,1,['Best Feature(s): No\nPerformance: Bad\nValue For Money: Not value\nThe box is damaged and totally not worth of money cause sound not clear.Connection also not good.Can heard the parts inside are loose once u shake it.\nIt took very long time to arrive.Not local seller actually'],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},1.0
16,2iwuel4qkz,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
17,3*****s,1,"['received in good condition, looks very good but very tight']",1,{'50048ea8-74e6-4d3f-ac5b-375a53363048': 1},5.0
18,3b11pnp05v,1,['Good quality'],1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},5.0
19,4iwlgeut6_,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},3.0
20,4p5bamyqic,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},4.0
21,4sfukore_f,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
22,4syr4f17_,1,"['Best Feature(s): noise cancellation, no audio leak\nValue For Money: definitely\nPerformance: beyond amazing!']",1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},5.0
23,5*****9,1,"['Performance: Sound quality is good for the price. Vocals may be a bit muffled but bass is strong💪\nBest Feature(s): colour, smooth Bluetooth connectivity\nValue For Money: YES']",1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},5.0
24,59n39rwm1y,2,"[nan, nan]",1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 2},5.0
25,5_ffbh2_fm,1,[nan],1,{'50048ea8-74e6-4d3f-ac5b-375a53363048': 1},5.0
26,5ocmrilz1e2ra2r4oj8y7vqythlt,1,['The product came on time and the sound quality is fantastic.'],1,{'416cf756-71db-4342-b82b-a0cee02a6750': 1},5.0
27,5tbvgfb17h,1,['Best Feature(s): Bass is good\nPerformance: Good\nValue For Money: Yes\nThe headphones work well but Bluetooth has trouble connecting sometimes. I am happy with the wire that can help mitigate my problem. For the price it is very good despite the Bluetooth connection problem.'],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
28,5v3e_u6f4n,2,"[nan, nan]",1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 2},5.0
29,7*****6,1,[nan],1,{'b3bf5729-00c2-47b3-bea0-04e7e65c3680': 1},4.0
30,7*****l,1,"['Value For Money: VERY!!\nBest Feature(s): audio sounds very crisp\nPerformance: not fully noise cancelling, but enough to last through normal volume, good audio\nbest thing is that it can fold! compact and light to carry around']",1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},5.0
31,71col_sof1,2,"[nan, nan]",1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 2},5.0
32,71f07azqar,1,['picture speaks for itself :) it was nice😁😁'],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
33,7avian,1,[nan],1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},5.0
34,7eq5nhn_vp,1,['Best Feature(s): sound\nValue For Money: yes\nPerformance: good\nIt’s good I recommend'],1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},5.0
35,7fiaqrfv8f,1,['Performance: great'],1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},5.0
36,7uqxwcv552,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},4.0
37,8*****a,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},4.0
38,84717wk,1,['Love the ANC'],1,{'416cf756-71db-4342-b82b-a0cee02a6750': 1},5.0
39,852yl1hsyd,1,"[""Delivered fast and in superb condition.  I'm one very satisfied customer here.  Good job seller!!!👌👍""]",1,{'b3bf5729-00c2-47b3-bea0-04e7e65c3680': 1},5.0
40,86f1gectj9,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
41,8r0_e7v390,1,[nan],1,{'50048ea8-74e6-4d3f-ac5b-375a53363048': 1},5.0
42,8tp9rc3qnu,1,['Best Feature(s): coming fast and good condition\nValue For Money: yes 👍'],1,{'b3bf5729-00c2-47b3-bea0-04e7e65c3680': 1},5.0
43,8wl1cyg5as,1,[nan],1,{'e7f7d678-ca55-4744-ae4d-eda7192276fc': 1},5.0
44,9*****s,1,['sound quality was not as good as i was expecting but the headphones are pretty and feel comfortable to wear !'],1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},4.0
45,91nozi,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
46,9o8733fsqc,1,[nan],1,{'b3bf5729-00c2-47b3-bea0-04e7e65c3680': 1},5.0
47,Shopee User,9,"[""Quality: ok\nPerformance:  the sound is ok, strong\nIt's ok, just use everything ok but if you use it for a long time it gives you a little headache but it's ok"", nan, nan, nan, nan, 'Highest quality \nWould recommend', nan, nan, nan]",3,"{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 5, '50048ea8-74e6-4d3f-ac5b-375a53363048': 3, 'e7f7d678-ca55-4744-ae4d-eda7192276fc': 1}",5.0
48,_*****4,1,['Value For Money: \U0001f90c🏼\U0001f90c🏼\U0001f90c🏼\nclear sound! includes bass as well.'],1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},5.0
49,_*****5,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
50,_*****_,2,"[nan, 'Performance: very good\nBest Feature(s): sound quality, aesthetic\nValue For Money: yes!!!\ncolour and sound quality is really good!!']",2,"{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1, 'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1}",5.0
51,_*****a,2,"[nan, 'soo cuteeee and amazingg!! i lovee and im soo obsessed with the colorrr!!  the quality is amazingggballz too !! really value for money andddd would recommend.']",2,"{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1, 'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1}",5.0
52,_*****n,1,[nan],1,{'50048ea8-74e6-4d3f-ac5b-375a53363048': 1},5.0
53,_a08zk__oa,1,[nan],1,{'50048ea8-74e6-4d3f-ac5b-375a53363048': 1},4.0
54,_amani,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
55,_jk9912_,1,['Performance: okay\nQuality: very Good\nThe goods are of good quality. Good service from seller and delivery Man. Nice'],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
56,_lilmeowmeow_,1,"['Performance: the sound quality is not bad, feel like hearing music live\nBest Feature(s): comfort and sound\nValue For Money: Nice and comfortable material, the size is great\nFast delivery, some dents on box but no damage to the product']",1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},5.0
57,_myhana,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
58,_n.iqah,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
59,_s4n4ae_7o,1,['Value For Money: yes it worth.\nCant wait to try it'],1,{'416cf756-71db-4342-b82b-a0cee02a6750': 1},5.0
60,_uuuu_,1,[nan],1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},5.0
