,Username,Number of Comments,Comments,Number of Products Commented,Products Commented,Mean Rating
0,.*****.,1,['Received but not tested if working or not'],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},5.0
1,.*****9,1,"['not the cheapest , included tool is nice but not worth extra, cant see the ""improved design"", feels same as og pads when new.']",1,{'51f70b33-555b-4d40-ad73-a4f19446fc73': 1},5.0
2,.*****f,0,[nan],1,{'b17e829b-3318-49c4-8a94-edc482f7733c': 1},5.0
3,.*****j,0,[nan],1,{'59331d97-d641-4a8b-8d1d-4f7296f1978e': 1},5.0
4,.*****v,0,[nan],1,{'6b40a572-7c11-45bb-937c-d3460fc70c36': 1},5.0
5,.....linh123,1,['Will buy again All'],1,{'ddaa8694-424f-4876-96e7-e2986a6b99ab': 1},5.0
6,.1uhnxeazgf,1,"[""Performance: GOOD！！！\nBest Feature(s): GOOD！！！\nValue For Money: GOOD！！！\nPut on headphones and don't feel uncomfortable. The appearance is very handsome, the sound is very clear, wearing headphones will not be disturbed. Very convenient when driving to work. Like it very much. ""]",1,{'b17e829b-3318-49c4-8a94-edc482f7733c': 1},5.0
7,._.venvidvicii,0,[nan],1,{'ada3b277-7679-4b52-8491-f4101329d86e': 1},5.0
8,.ado.rodolfo.pastrana,0,[nan],1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 1},4.0
9,.monteoliva,1,"[""The sound is not that great, but for the price it's great! Arrived ahead of schedule 🥺""]",1,{'bf476063-e681-4700-b2a1-ad8a416a7cb8': 1},5.0
10,.rofikmaulana,0,[nan],1,{'ada3b277-7679-4b52-8491-f4101329d86e': 1},4.0
11,0*****2,0,"[nan, nan]",1,{'c6248603-e4db-403f-a7d2-4139e8463d34': 2},5.0
12,0*****3,0,[nan],1,{'43c23b00-3cb4-4718-81f0-d4dd22b9bb76': 1},5.0
13,0*****4,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
14,0*****6,0,[nan],1,{'629dd687-f02e-4db8-8b54-3250c1f685f2': 1},4.0
15,0*****9,0,[nan],1,{'4eec4d16-0b8d-40c9-be7b-b444955589c5': 1},5.0
16,0*****a,2,"['second purchase bc the first time i bought it it was good. sound quality is ok! delivery is quite fast too:)', 'Good voltage stabilizer sound, fast bluetooth connection.\nMy head is medium, not big at all. However, the headset seems a bit tight, and the cushions on both sides of the headset are really not soft and smooth to wear. \nYou can choose 1 other product with a higher price for better wearing quality, or if you save money, you can also choose this product for temporary.']",2,"{'0063c41c-e4de-4d05-a40e-7f3c31e67dc5': 1, '087be8f9-1394-40ae-be7a-ed4c4e917832': 1}",4.0
17,0*****c,1,['Value For Money: Excellent\nPerformance: Excellent\nBest Feature(s): Excellent\nactually wanted a wireless I bought the wrong one however this really good for the price \nThough no noise cancellation is still good enough for teens\n\nThe size is good and comfortable'],1,{'ef5a4175-8271-46c7-9c82-be26682bc42d': 1},4.0
18,0*****d,0,[nan],1,{'087be8f9-1394-40ae-be7a-ed4c4e917832': 1},5.0
19,0*****e,0,[nan],1,{'f763ffa4-ab7e-4bda-8b31-310c402ea36b': 1},5.0
20,0*****h,1,['order received. authentic with card to activate surround sound. headphones are comfortable to wear even with glasses. sound quality is ok but would be much better with dolby atmos or some sort of enhancer. noise cancellation is pretty bad though sobs'],1,{'5a3c6eba-0780-4b30-9256-81f254b07332': 1},5.0
21,0*****r,1,"['Best Feature(s): No\nValue For Money: Not at all\nPerformance: Not good\nProduct was average, nothing too crazy about it. \nCan hear something accessory in the earphone as the video shown\nDelivery took super long\nNot Recommend to buy']",1,{'738907d7-39a7-403e-a8a6-1b0933baf48f': 1},1.0
22,0*****v,1,['Performance: Great\nOriginal product. Great price during sales. Fast delivery also'],1,{'f9b60d03-8caf-4502-8e9c-dd299758ae3a': 1},5.0
23,0*****z,1,['Very good 10/10 will buy again sound is nice too thanks seller packaging good'],1,{'72370986-e271-46ab-9368-4ccb6f31a38d': 1},5.0
24,000ztsu,0,[nan],1,{'738907d7-39a7-403e-a8a6-1b0933baf48f': 1},5.0
25,007aarif,0,[nan],1,{'5428f9a3-7a6f-475e-b030-3284fe14d689': 1},5.0
