merchant_id,name,total_rating,response_rate_percent,days,no_products,response_speed,no_follower
983b8576-0dd8-4c84-acdf-0915734adbd0,sprise_localstore.sg,809,96.0,210,12,within hours,630
6e3b6c48-c873-44ac-b99a-845f35a30cf7,IN-BOX,24200,97.0,2920,366,within hours,11500
90f139bf-4bb4-4f5c-8511-f99ede1d71b2, Edifier Flagship Store,367,97.0,210,24,within hours,2500
355137ee-5cdc-46f9-a573-c4e6a6cbe5f5,SHAVALIFE,18800,97.0,1460,63,within hours,7600
7b1295a7-da41-4856-9f62-48121ce1c6a3,SonicGear Official Store,5900,61.0,1095,78,within hours,7900
9bb43343-23f7-4899-aa82-be5adb5b2e7b,VOCOAL.Pro.sg,6200,99.0,390,123,within minutes,2900
4a2c9a24-edce-4c14-8cb4-f2de78d9526f,Spark HD ,26600,98.0,1095,374,within hours,8600
299b0148-e796-45bd-b0b2-955e0cbd09a3,okwis3c.sg,1600,100.0,180,20,within minutes,1000
0b718f8c-5b9f-4090-a61c-a1a9a1712001,Daniel's Recommendation,12800,80.0,2920,352,within hours,2300
c381d772-340b-4604-8c59-9a7d7e3ea7ef,Sehold official store ,255,75.0,2190,12,within hours,132
a1fae61e-f258-4d22-8d36-f9c85fe40979,Baseus Official Store,216200,100.0,1825,516,within hours,122400
174c12a9-00d4-451b-aee8-a90173579417,Smart Shopping,46400,68.0,2190,1100,within hours,5400
15d2f539-b21b-4056-b5ea-d4a9545b6b0a,Belkin Official Store,3900,54.0,1825,124,within hours,14300
aa323631-838f-499d-af6e-2736e8ff8760,Lifely.sg,28100,98.0,1460,39,within hours,5500
1c066884-5997-4b64-960a-ce89c5196fcf,Online Singapore,13700,98.0,1460,75,within minutes,11700
85e50dd6-56a0-441b-9b72-97a6317c83a4,BELLYWORTH,4800,99.0,2190,45,within hours,1200
3cdfe5d6-2da0-447b-9ddf-2eb74348ca46,skystar0405.sg,2000,45.0,420,141,within hours,830
0509271f-ee1f-4f62-8b5d-069dcc150178,vitog official store,20900,100.0,1460,118,within hours,6400
90dea391-dc91-46cb-bbbd-d8633cc89659,chengaii.sg,11300,99.0,1460,86,within minutes,3100
ad2b536a-021c-41c3-9cad-9f74560fc512,hiyoromich.sg,24,100.0,390,144,within hours,33
e63756e6-6c7e-4c64-8f94-8c9943aa1eab,RedDotVillage,3600,89.0,2555,518,within hours,249
9ccb4a27-e1e3-49ca-b58d-5292618016ac,3c3cmall.sg,2400,4.0,1050,411,within hours,172
0ef30050-7747-48fd-a743-a0cbffc81a98,Lenovo Thinkplus,4700,96.0,480,113,within hours,654
29635bea-8e1b-4e96-bd2b-b06a38a86363,heimi26.sg,13300,89.0,1460,138,within hours,3100
54e4d556-e98e-4fb3-bbb5-a6d2656ffdc3,Neineik Store,27400,99.0,1460,600,within hours,6400
11dc2d08-8cb4-4029-b313-6cda58d79163,hongzan.sg,1600,88.0,750,103,within hours,373
e4580413-6783-490c-9826-27e584069f4a,Ministry of Powerbank,10300,81.0,1095,365,within hours,4600
8dd47d0e-2772-4ff4-9d2e-83d22c914c88,Skullcandy Singapore Official Store,2200,94.0,2190,38,within hours,9500
068161c1-9c19-4d0a-b7d6-45984f3ab973,nuowa.sg,3500,56.0,900,249,within hours,1100
6edf5a9e-df47-449c-9e6e-46756d2f87ff,bestshoppingland1.sg,899,100.0,1050,999,within minutes,179
e9e1d223-2483-440b-90f0-0f58d91765c5,YIBIN Onine Store,3600,86.0,840,91,within hours,955
51095109-817b-4d7b-94f3-aaeea1781721,Five star💯💯Boutique Digital Mall,111,74.0,510,56,within hours,47
7b584ff9-6087-46a4-b3f2-2a57ac9afc67,Jojo Gadjet,2900,100.0,1460,25,within minutes,122
d3d4ce52-38a4-4b48-8346-9db1a7abfc88,lighting.sg,4000,4.0,1095,775,within hours,314
d9444630-108e-4b6d-91d9-2e2fdf324895,Luxury Watch Wizard,3800,89.0,2190,115,within hours,2300
460192af-420a-4769-941c-c31086043daf,Prefeerdshop.sg,4700,100.0,930,223,within minutes,1200
2fdac5fe-83fe-4a0b-9286-81ad6996abc4,SPEED MOBILE CLUB,2000,96.0,1095,608,within hours,960
8ffb41eb-7b18-4a43-93c3-41c5b8cc7bbf,hocosales.sg,2000,79.0,720,245,within hours,1400
e9ecd31f-bf91-4751-9650-cc07562e0384,ujubaxr.sg,287,57.0,810,74,within minutes,107
859cc481-ab7f-4be2-b5c1-ea59f12f2b7a,Leapfrog E-Store,24600,55.0,2555,203,within hours,8300
ea995824-634e-4cca-8b82-f25a239bbaaa,samanthayap1983,9400,7.0,2190,440,within hours,794
a02f93e3-d52d-4eca-ac67-1696bf1bd8b7,uacstore.sg,1500,93.0,840,444,within hours,1100
af42f224-42c6-432a-96f9-5bce3164fe7c,Kam_3C Store.sg,259,94.0,330,302,within hours,130
a16523b0-72b9-4f33-a4f8-a3db56000fea,Bestzlink Technology,6300,96.0,510,50,within hours,2800
b36f66c2-2722-4c79-a41f-a1f861ff6d00,Ankndo.sg,31400,82.0,1050,846,within hours,3900
29ea9308-73e7-4a8c-9ad0-ea6b42dcba56,TUDOU.YU,7700,91.0,1020,238,within hours,1400
