Unnamed: 0,Product ID:,Store Name,Product Name:,Product Price:,Total Number of Ratings:,Average Ratings:,Total Sold:,Total Fav:,Total Available:,Description:
0,1ca606d9-0507-410b-a98c-a0d1745cc233,Skullcandy Singapore Official Store,Crusher ANC 2 Sensory Bass Wireless Headphones with Active Noise Cancelling,$350.00,3,5.0,7,Favorite (43),2 pieces available,"The next generation of our iconic Crusher headphone is here. Crusher ANC 2 is loaded with everything you love about the Crusher ANC plus Skull-iQ Smart Feature Technology, Voice Control, Multipoint Pairing and much, MUCH more. "
1,a45e9ef8-c2d2-4495-ac16-0b8c42a236ca,sprise_localstore.sg,SPRISE Premium Wireless Bluetooth Earphone Colorful Headphone Foldable Headset Gaming With Mic 蓝牙耳机,$17.33,245,4.6,813,Favorite (1.1k),2 pieces available,"Hey~ Welcome to SPRISE Official Store! Please read the product description clearly, choose u need. All items are in stocks! Please enjoy~  
 ❥Specifications: 1. Name: SPRISE DR58 2. Color: Dolomite White/Athens Black/Tender Pink 3. Weights: 275g 4. Bluetooth Version: 5.0 5. Communication distance: 10m 6. Talking time: 12 hours 7. Charging time: 3-4 hours 8. Suitable for: Android, iOS, macOS and windows system 
 ❥Features : 1. HIFI advanced sound quality brings a live music experience like in person; with skin-friendly breathable earmuffs, comfortable to wear without pressure on the ears. 2. Foldable design, easy to carry; preferred metal material, resistant to pressure and violence. 3. The Bluetooth headset plays games with ultra-low latency, waterproof and sweatproof, with an audio cable to bring you the ultimate good life experience. 
 ❥Product List： 1* Bluetooth headphone  1* Type-C Charging cable  1* Audio cable 1* User Manual 
 Note: Don't use more than 1.5 A charging head charge 
 
 #earphone #headphone #earphone gaming #headset #headphone bluetooth #gaming headset #headphones #headphone gaming wireless #bluetooth headset #wireless headphones #cute headphone #headsets #bluetooth headphone with mic #over ear headphones #wired headphone #studio headphone #headphone bass"
2,cdba870d-eb79-4380-9de9-d6e61c895949,SHAVALIFE,USB PC Headset Conference Call with Noise Cancelling Wired Headphones,$18.50,1.6k,4.9,5.1k,Favorite (1.5k),477 pieces available,"Headset Key Features: ✅  High Quality Stereo Sound (even for Audio Playback) ✅  Noise Cancelling Microphone Perfect for Conference Call ✅  Plug and Play. Easy to Setup ✅  Volume Control Access Board ✅  One-Touch Microphone Mute/ Unmute ✅  One-Touch Headset Mute/ Unmute ✅  300° Rotatable Microphone Arm ✅  Soft & Comfortable Ear Cushions ✅  Adjustable Size for Headband  ✅  System Compatibility with Windows Vista, Windows 7, Windows 8, Windows 10, Android, IOS and other systems ✅  Universal USB interface  ✅  Also Supports 3.5mm Audio jack ✅  Unique 2-in-1 Detachable Plug  ✅  Lightweight & Portable 
 Supporting Systems:    💽 Windows   Mac OS 
 Applications: 👪 Video Conference 🎙️ Recording 📹 Live Streaming 🕹️ Gaming 👮 Video Security 📚 Distance/Online Learning 🗣️ Call Centre 🎧 Audio Headphone 
"
3,d2030c84-9633-4362-84ba-e24ee955c571,Online Singapore,Online Singapore - Sony MDR-ZX110AP Headphones with Built-in Microphone,$32.90,210,4.8,576,Favorite (460),100 pieces available,"* Local Authorized Dealer
* One Year Local Warranty from Sony Singapore

Key Features
•	High energy neodymium magnets deliver powerful sound.
•	Padded earcups for comfortable listening.
•	The closed-back, enfolding design wraps around the ear, helping to seal in music and keep distractions out.
•	An in-line remote and built-in microphone allows you to take hands-free calls from selected smartphones while listening to music.

#Sony #MDR #ZX110AP #Headphones"
4,ea192f7b-9cb2-4a7a-b6dc-0b4c1d268e35,Skullcandy Singapore Official Store,Skullcandy Cassette Wireless On-Ear Headphones,$50.00,100,4.9,249,Favorite (405),8 pieces available,"Bluetooth® Wireless Technology
Up to 22 Hours of Battery + Rapid Charge
Durable Metal Headband
Plush On-Ear Cushions
Collapsible Design
Microphone, Call, Track and Volume Control

WIRELESS SOUND.TIMELESS LOOK.
Inspired by classic designs from the ‘80s and ‘90s, Cassette features style, comfort, durability, and sound quality far beyond its price.

BUILT TO OUTLAST.
Stronger materials—including metal in the headband and high-quality ear cushions—ensure a long lifespan.

INFINITE FIT. TIGHT FOLD.
Plush ear cushions pivot in every direction, so they comfortably pair with any set of ears. Plus, the foldable design and AUX cable make Cassette easy to pack and use anywhere.

ALL-DAY BATTERY.
Get 22 (yes, 22) hours of playtime from a full charge. Plus, 2.5 hours with a 10-minute Rapid Charge means Cassette is always good to go.

What's Included
Cassette Wireless Headphones
Backup AUX Cable
USB Charging Cable
User Guide

Headphone Type: Bluetooth® On-Ear
Connection Type: Bluetooth® 5.0
Impedance: 30 Ohms ±15%
Driver Diameter: 40mm
THD: <3% @1khz
Sound Pressure Level: 120-126dB
Frequency Response: 20Hz - 20KHz
Weight: 147g

Skullcandy audio products are covered with 1-year warranty against manufacturing defects.

#skullcandy #cassette #wirelessheadphones"
5,8b31442e-0988-4d81-996b-24655eb6b1e7,Creative Official Store,"Creative Zen Hybrid - Wireless Over-Ear Headphones with Hybrid ANC, Ambient Mode, Up to 27 Hours (ANC On), Bluetooth 5.0",$69.00,360,4.9,966,Favorite (881),8 pieces available,"Find your Zen with Creative Zen Hybrid ANC Headphones 
 WIRELESS OVER-EAR HEADPHONES WITH HYBRID ACTIVE NOISE CANCELLATION AND AMBIENT MODE  Find your gateway to serenity and personal privacy with the Creative Zen Hybrid! 
 Featuring Hybrid Active Noise Cancellation for a more peaceful time and Ambient Mode when you need to be aware of your surroundings, get your much needed reprieve as and when you need them. 
 This pair of over-ear headphones is the perfect combination of versatility and performance--wireless or wired, outdoors or indoors--and is fitted a noise-cancelling microphone that can handle any impromptu calls. To top it off, its long-lasting battery life of up to 27 hours even with ANC enabled also means you can power through an entire day without distractions. 
 With Creative Zen Hybrid, you can always find your zen. 
 
 NOISE CONTROL  Activate Hybrid Active Noise Cancellation (ANC) to cancel up to 95% of ambient noise in your surroundings, or switch to Ambient Mode with a push of the same button.  
 
 BATTERY  Recharge your headphones via USB-C and get up to 37 hours of battery life with ANC off; up to 27 hours with ANC on. A quick 5-minute charge also provides 5 hours of listening.  
 
 CONNECTIVITY  Bluetooth 5.0 — Hear smoother and uninterrupted audio wirelessly with Bluetooth 5.0 technology while out and about. If your devices support the AAC codec, you can enjoy improved wireless streaming and audio quality. 
 3.5 mm AUX-in — When the power on the headphones is running low or when you just want a quick and simple way to relax, plug in the headphones with the included AUX-in cable, and chill with your tunes. 
 
 AUDIO  At the heart of Creative Zen Hybrid are the drivers. Custom-tuned by our very own acoustic engineers, the dual 40 mm full-range Neodymium drivers promise high-quality sound without any fuss. 
 
 COMMUNICATIONS - GET HEARD CLEARLY  Sound clearer to others on the line for an improved call experience! The Creative Zen Hybrid features a noise-cancelling microphone that works to pick up your voice over the noise. Combined with ANC on, you’ll be able to hear them better when your environment’s noises are cancelled out--just press a button to activate it. 
 
 CONTROLS ARE RIGHT THERE  All the necessary controls are located on the right earcup so they are easy to access. Answer a call, make a quick command via smart assistants* like Siri or Google Assistant, or adjust your playback volumes, it’s all right there. 
 *This feature requires a Bluetooth connection to your iOS or Android phone with an internet connection, and support for the smart assistants. 
 DESIGN AND BUILD QUALITY  Luxurious Finish — This steel inner core is sheathed in premium synthetic leather that exudes a luxurious finish while staying versatile enough to match your setup and outfit. 
 Plush and Comfortable — On each side of the headphones are the 90° swivel earcups, built with extra plush synthetic leatherette for a comfortable and snug fit during extended listening hours without hurting them. 
 Adjustable Headband — Features a reinforced steel inner core that provides a backbone for the headphones to get a firm grip on your head for optimal acoustic seal and fit for different head shapes and sizes. 
 
 MADE FOR TRAVEL  The Creative Zen Hybrid can be folded in three ways so you can stow them away in your laptop carrying case or your hand carry on the plane. "
6,e5ab7f1b-ad05-49de-9f32-a6f972e7ba44,Lenovo Thinkplus,Lenovo TH10 Bluetooth Headphones Wireless Headphone HIFI Stereo Music Noise Reduction With Mic,$28.08 - $31.32,329,4.8,845,Favorite (1.6k),8 pieces available,"Welcome to Lenovo official mall, we are committed to providing customers with powerful products and high-quality services. Buy our products from Shopee without worry as we guarantee they are 100% authentic and brand new. Enjoy your shopping in our store and have a nice day. 
 Product Description: Aux audio interface compatible with more devices gain android ios turnkey design Comfortable long use without pressure 3d listen to distinguishing sound, zero delay gaming experience Dual power speakers, large size unit of 40mm Static cvc microphones, enhanced sound effects 
 Product Specifications: Itemname: Headphone Color: black, white Model: lenovo thinkplus th10 Moving coil: 40mm Cable connection: 3.5mm audio cable Bluetooth Wireless: 5.0 Charging interface: USB Bluetooth transmission distance: 10-15m Battery capacity: 300mah (built-in) Battery life: 8 hours of play, 12 hours of playback 
 Products include: The package includes: 1 x Headphone 1 x Charging Cable 1x3.5mm to 3.5mm audio cable 1 x Manual 
 Tips: The product is actually in stock. Products will be shipped within 1 business day after payment.   How to use: Turn on the switch button, when the indicator light flashes, then turn on the Bluetooth of the mobile phone and click connect~ ps: You need to connect manually for the first time, and then take out the headset to connect automatically. 
 If you are not satisfied with the purchase or have any questions, please contact us first Please do not leave negative feedback without communication. We are happy to solve your problem. thank you very much! 
 #Lenovo #Bluetooth headphone #Lenovo headphones #Headphone #Wireless Headphones"
7,c46f4cd4-a611-4b1c-85bd-683b1166c76e,SonicGear Official Store,SonicGear Airphone 7 Bluetooth Headphones High Clarity With Strong Bass And Mic,$30.90,406,4.7,927,Favorite (682),6 pieces available,"Welcome to SonicGear Official store where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today! Package Contains : - SonicGear Airphone 7 x1 - USB Charging Cable x1 - Line-In Cable x1 - User Manual x1 
 Warranty Instructions:  - SonicGear 1 Years Limited Hardware Warranty - Register warranty at https://leapfroglobal.com/register - Product with no serial number provided, use Order ID on the platform for warranty claim purpose 
 Website: https://leapfroglobal.com/home/sonicgear		 Facebook: SonicGear YouTube: SonicGear #SonicGear #Headphone #Airphone7 #Bluetooth #Microphone #On-Ear"
8,941ec6d4-e7ef-4fb4-a4dc-674de8e32645,Online Singapore,Online Singapore - Sony MDR-ZX110 Headphones - without Mic,$29.00,78,4.9,242,Favorite (151),6 pieces available,"* Local Authorized Dealer
* One Year Local Warranty from Sony Singapore
* Colour: Black / Pink / White

When you’re on the move, listen to tunes in clear, balanced sound with the MDR-ZX110 headphones featuring dynamic 1.38 in drivers. Cushioned earpads give you extra comfort on the go. 

Key Features
1.38 in dome drivers for balanced sound
High-energy neodymium magnets deliver powerful sound
12 Hz–22 kHz frequency range
Padded earcups for comfortable listening
Choice of colors to suit your style"
9,8831aade-17e3-47d2-8868-6c5908ed7737,SonicGear Official Store,SonicGear AirPhone 6 Wireless Bluetooth Headphones With Mic,$30.90,289,4.7,840,Favorite (1.4k),6 pieces available,"Welcome to SonicGear Official Store where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today! 
 
 Package Contains: - SonicGear AirPhone 6 x1 - Type-C Charging Cable x1 - 3.5mm Audio Jack x1 - User Manual x1 
 Warranty Instructions:  - SonicGear 1 Years Limited Hardware Warranty - Register warranty at https://leapfroglobal.com/register - Product with no serial number provided, use Order ID on the platform for warranty claim purpose 
 Website: https://leapfroglobal.com/home/sonicgear		 Facebook: SonicGear YouTube: SonicGear #SonicGear #AirPhone6 #WirelessHeadset #Bluetooth #Over-Ear"
